epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6579,1.61295,2.73454,1.66406,0.33736,0.0586,0.02165,0.0059,2.92321,3.92294,3.39757,0.000984127,0.000984127,0.0813016
2,49.178,1.64356,2.20914,1.69683,0.07777,0.11801,0.01508,0.00416,2.96661,5.3769,3.67446,0.00196776,0.00196776,0.0622852
3,71.699,1.64051,2.16445,1.68761,0.28184,0.04063,0.02118,0.00684,2.93276,8.25107,4.04184,0.00293489,0.00293489,0.0432523
4,98.3895,1.65997,2.14347,1.71049,0.55331,0.03512,0.0219,0.00726,2.95177,17.0867,3.52331,0.00388552,0.00388552,0.024203
5,121.634,1.63487,2.12239,1.69301,0.0685,0.15053,0.02821,0.00953,2.76016,8.46399,3.38341,0.00481965,0.00481965,0.00513711
6,144.01,1.60493,2.04377,1.67507,0.22674,0.24734,0.16341,0.06937,2.26633,3.95388,2.51328,0.00479375,0.00479375,0.00479375
7,166.369,1.53463,1.9408,1.62649,0.42409,0.13657,0.11924,0.04676,2.40708,4.27958,2.66521,0.0047525,0.0047525,0.0047525
8,188.876,1.52589,1.86002,1.61317,0.49689,0.47074,0.46263,0.25831,1.77561,2.55736,1.91588,0.00471125,0.00471125,0.00471125
9,211.15,1.46555,1.78044,1.57536,0.39922,0.43208,0.34614,0.1807,1.77975,2.31807,1.81224,0.00467,0.00467,0.00467
10,233.951,1.46155,1.75776,1.57135,0.42629,0.35498,0.30795,0.16286,1.89699,3.05262,1.97612,0.00462875,0.00462875,0.00462875
11,256.356,1.43107,1.69117,1.55278,0.48631,0.32149,0.30794,0.16329,1.9245,2.63668,2.01198,0.0045875,0.0045875,0.0045875
12,279.097,1.4251,1.67927,1.54539,0.68338,0.35827,0.38256,0.19594,1.82157,2.34359,1.9366,0.00454625,0.00454625,0.00454625
13,301.578,1.4005,1.63477,1.52855,0.28642,0.27673,0.19691,0.0992,1.89714,4.13474,1.96813,0.004505,0.004505,0.004505
14,323.96,1.37174,1.60318,1.51846,0.73255,0.50891,0.5925,0.36036,1.50911,1.73196,1.56278,0.00446375,0.00446375,0.00446375
15,346.433,1.35681,1.57954,1.50886,0.55953,0.47879,0.48682,0.27734,1.57246,2.16037,1.67978,0.0044225,0.0044225,0.0044225
16,369.51,1.37412,1.5788,1.51591,0.63072,0.56912,0.60352,0.38543,1.41563,1.52239,1.51505,0.00438125,0.00438125,0.00438125
17,392.113,1.32649,1.48283,1.48171,0.57642,0.57435,0.58869,0.36907,1.44821,1.77096,1.53768,0.00434,0.00434,0.00434
18,415.578,1.34768,1.51367,1.49292,0.6667,0.57728,0.61353,0.3754,1.53476,1.56859,1.56197,0.00429875,0.00429875,0.00429875
19,440.445,1.31952,1.48916,1.47257,0.62765,0.61591,0.6122,0.40708,1.34042,1.59759,1.42926,0.0042575,0.0042575,0.0042575
20,464.941,1.32186,1.45479,1.47289,0.7059,0.50153,0.56308,0.36199,1.43726,1.57801,1.56865,0.00421625,0.00421625,0.00421625
21,489.261,1.31871,1.4492,1.47388,0.70571,0.60163,0.65162,0.43416,1.31157,1.44599,1.44019,0.004175,0.004175,0.004175
22,513.561,1.28322,1.42351,1.45612,0.70775,0.56429,0.61729,0.40047,1.38986,1.6157,1.50942,0.00413375,0.00413375,0.00413375
23,538.688,1.28464,1.40784,1.45318,0.65157,0.54423,0.58991,0.35926,1.45074,1.55517,1.56621,0.0040925,0.0040925,0.0040925
24,563.872,1.28518,1.40387,1.45518,0.72872,0.58107,0.64228,0.43312,1.36026,1.56262,1.47698,0.00405125,0.00405125,0.00405125
25,589.047,1.2701,1.37255,1.44892,0.67416,0.65989,0.68465,0.4673,1.30483,1.29081,1.40906,0.00401,0.00401,0.00401
26,613.389,1.26965,1.35989,1.44008,0.7259,0.63796,0.69354,0.4786,1.24083,1.26497,1.36235,0.00396875,0.00396875,0.00396875
27,638.251,1.2462,1.33341,1.42757,0.7527,0.61659,0.67993,0.47117,1.26327,1.34303,1.38374,0.0039275,0.0039275,0.0039275
28,663.402,1.24051,1.32847,1.42787,0.72249,0.62814,0.67782,0.4596,1.3226,1.23557,1.4041,0.00388625,0.00388625,0.00388625
29,689.785,1.24579,1.30486,1.42092,0.77227,0.5972,0.6806,0.45717,1.28172,1.20517,1.41016,0.003845,0.003845,0.003845
30,718.198,1.22281,1.30673,1.41726,0.81504,0.6238,0.70702,0.48524,1.28346,1.22534,1.36274,0.00380375,0.00380375,0.00380375
31,744.279,1.22614,1.29849,1.4056,0.71515,0.6781,0.71748,0.49611,1.19612,1.18842,1.3351,0.0037625,0.0037625,0.0037625
32,770.706,1.22414,1.29906,1.41061,0.81002,0.66937,0.74173,0.51916,1.22096,1.13169,1.31905,0.00372125,0.00372125,0.00372125
33,796.325,1.21282,1.28396,1.40509,0.67505,0.62781,0.66795,0.44828,1.26483,1.26967,1.39071,0.00368,0.00368,0.00368
34,821.585,1.18068,1.23758,1.39535,0.76198,0.6257,0.70372,0.46902,1.26363,1.19774,1.38293,0.00363875,0.00363875,0.00363875
