epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1499,0.97628,2.3033,1.40783,0.46539,0.59548,0.46111,0.28615,1.29278,3.74246,1.85058,0.000472492,0.000472492,0.000472492
2,140.305,1.17091,1.84312,1.52784,0.42656,0.36363,0.37461,0.20209,1.38353,2.35986,1.93015,0.000930039,0.000930039,0.000930039
3,204.281,1.25831,1.81176,1.58957,0.60319,0.32579,0.40618,0.25511,1.38951,2.4495,1.9469,0.00136872,0.00136872,0.00136872
4,267.736,1.25657,1.70211,1.59695,0.55217,0.51173,0.55433,0.31132,1.3798,1.83409,1.90233,0.00134412,0.00134412,0.00134412
5,331.346,1.17618,1.50696,1.52279,0.58263,0.45697,0.49982,0.29362,1.32601,1.9925,1.77429,0.00131582,0.00131582,0.00131582
6,393.774,1.14011,1.42647,1.47648,0.60759,0.52952,0.62262,0.378,1.19921,1.53851,1.65694,0.00128753,0.00128753,0.00128753
7,456.602,1.11301,1.34184,1.4795,0.64536,0.6338,0.66018,0.43607,1.09558,1.18132,1.52913,0.00125923,0.00125923,0.00125923
8,519.947,1.05324,1.29097,1.43135,0.70258,0.67117,0.76167,0.53165,0.98303,1.06114,1.44841,0.00123094,0.00123094,0.00123094
9,583.217,1.03782,1.22854,1.40642,0.70086,0.71347,0.76087,0.52456,0.98221,1.19288,1.44228,0.00120265,0.00120265,0.00120265
10,646.421,1.03154,1.21188,1.40605,0.79761,0.74299,0.81061,0.57269,0.91003,1.05894,1.35888,0.00117435,0.00117435,0.00117435
11,709.48,0.9975,1.15654,1.38721,0.84209,0.77926,0.85432,0.57891,1.01092,0.90008,1.39989,0.00114606,0.00114606,0.00114606
12,772.658,0.97416,1.13107,1.36565,0.77728,0.78448,0.85421,0.61931,0.84912,0.81306,1.29927,0.00111776,0.00111776,0.00111776
13,835.974,0.95344,1.07302,1.34864,0.82448,0.72376,0.82814,0.59337,0.87601,0.93237,1.3235,0.00108947,0.00108947,0.00108947
14,900.137,0.90842,1.01709,1.32134,0.81639,0.74914,0.85035,0.62592,0.81421,0.86698,1.26482,0.00106118,0.00106118,0.00106118
15,963.731,0.89307,0.98251,1.30089,0.82185,0.75927,0.82386,0.59998,0.85646,0.81348,1.27577,0.00103288,0.00103288,0.00103288
16,1026.72,0.90904,0.96396,1.31145,0.84329,0.79002,0.854,0.62929,0.82656,0.76187,1.25102,0.00100459,0.00100459,0.00100459
17,1089.75,0.89542,0.9437,1.30809,0.76629,0.77159,0.82213,0.6156,0.77925,0.78774,1.24851,0.000976293,0.000976293,0.000976293
18,1152.53,0.86861,0.95308,1.28981,0.90527,0.85035,0.9229,0.7093,0.73071,0.6317,1.17579,0.000947999,0.000947999,0.000947999
19,1215.56,0.8454,0.90032,1.26515,0.83232,0.80625,0.88573,0.68015,0.72016,0.6774,1.1887,0.000919704,0.000919704,0.000919704
20,1278.32,0.83214,0.89487,1.26553,0.86084,0.80225,0.90472,0.69287,0.73305,0.83575,1.18559,0.00089141,0.00089141,0.00089141
21,1342.12,0.83435,0.86644,1.26615,0.89642,0.87904,0.92849,0.72559,0.71863,0.60614,1.15453,0.000863116,0.000863116,0.000863116
22,1407.8,0.80825,0.85855,1.24295,0.92367,0.85057,0.93201,0.73579,0.6986,0.62633,1.12882,0.000834822,0.000834822,0.000834822
23,1471.16,0.81814,0.86496,1.25332,0.87872,0.83999,0.90994,0.72303,0.67268,0.60255,1.12414,0.000806528,0.000806528,0.000806528
24,1534.04,0.80998,0.83205,1.25015,0.8668,0.81588,0.90905,0.7107,0.70609,0.74728,1.14371,0.000778233,0.000778233,0.000778233
25,1596.57,0.79699,0.80902,1.23359,0.83768,0.80763,0.8859,0.69397,0.70265,0.71783,1.14138,0.000749939,0.000749939,0.000749939
26,1659.61,0.78882,0.79915,1.23553,0.91905,0.85364,0.92202,0.72749,0.67347,0.5814,1.12981,0.000721645,0.000721645,0.000721645
27,1724.07,0.75424,0.77055,1.21083,0.92945,0.88627,0.94515,0.76872,0.6245,0.50947,1.07427,0.000693351,0.000693351,0.000693351
28,1786.99,0.76062,0.76318,1.20557,0.91372,0.85947,0.93511,0.75537,0.63396,0.56325,1.08426,0.000665057,0.000665057,0.000665057
29,1849.53,0.75548,0.75659,1.21254,0.93706,0.87107,0.95336,0.76822,0.64864,0.53362,1.08556,0.000636762,0.000636762,0.000636762
30,1912.07,0.73434,0.73935,1.19087,0.94442,0.90488,0.95939,0.798,0.61953,0.49344,1.05096,0.000608468,0.000608468,0.000608468
31,1975.3,0.72991,0.71701,1.18939,0.93271,0.8887,0.95059,0.7796,0.61695,0.49224,1.07356,0.000580174,0.000580174,0.000580174
32,2038.12,0.73735,0.71279,1.192,0.92496,0.91164,0.95583,0.79983,0.58347,0.46536,1.04687,0.00055188,0.00055188,0.00055188
33,2102.59,0.71807,0.70057,1.19155,0.92444,0.89078,0.9491,0.78101,0.59635,0.4861,1.05677,0.000523586,0.000523586,0.000523586
34,2165.46,0.70708,0.66999,1.17204,0.93655,0.91399,0.96016,0.79823,0.57358,0.46152,1.02926,0.000495291,0.000495291,0.000495291
35,2227.8,0.68503,0.6582,1.15937,0.95697,0.92045,0.96518,0.82284,0.53995,0.42806,1.00119,0.000466997,0.000466997,0.000466997
36,2289.89,0.69519,0.66244,1.16403,0.92932,0.90329,0.95104,0.78182,0.60039,0.45777,1.03658,0.000438703,0.000438703,0.000438703
37,2352.8,0.69542,0.66543,1.16534,0.95956,0.91914,0.96522,0.82551,0.5282,0.41398,0.99071,0.000410409,0.000410409,0.000410409
38,2416.76,0.68528,0.63537,1.16671,0.94624,0.93066,0.96909,0.82302,0.54848,0.41357,0.9952,0.000382115,0.000382115,0.000382115
39,2480.16,0.67389,0.63392,1.15344,0.94341,0.92981,0.96562,0.82131,0.52859,0.40489,0.98349,0.00035382,0.00035382,0.00035382
40,2542.67,0.67823,0.63253,1.15657,0.95375,0.91626,0.95853,0.81771,0.51578,0.40189,0.97734,0.000325526,0.000325526,0.000325526
41,2612.43,0.54567,0.48858,1.09255,0.93582,0.93797,0.96713,0.82844,0.51939,0.40158,0.97659,0.000297232,0.000297232,0.000297232
42,2675.67,0.53024,0.44468,1.0681,0.95897,0.93845,0.97376,0.84989,0.49771,0.37788,0.95365,0.000268938,0.000268938,0.000268938
43,2737.33,0.51309,0.43612,1.05966,0.97243,0.93941,0.97722,0.85569,0.49273,0.36199,0.94533,0.000240644,0.000240644,0.000240644
44,2799.99,0.51006,0.40803,1.05728,0.97139,0.93936,0.97953,0.86614,0.46643,0.35426,0.93022,0.000212349,0.000212349,0.000212349
45,2862.55,0.48674,0.39131,1.03771,0.96816,0.94326,0.97856,0.86527,0.45981,0.34228,0.92307,0.000184055,0.000184055,0.000184055
46,2921.89,0.47352,0.38134,1.02756,0.97382,0.95122,0.98127,0.87466,0.44791,0.3315,0.91312,0.000155761,0.000155761,0.000155761
47,2980.97,0.47751,0.38241,1.03047,0.98252,0.94412,0.98214,0.87965,0.44561,0.3239,0.91186,0.000127467,0.000127467,0.000127467
48,3040.25,0.46318,0.37479,1.02641,0.9706,0.95508,0.98143,0.87921,0.43367,0.32114,0.90338,9.91726e-05,9.91726e-05,9.91726e-05
49,3096.26,0.44389,0.35657,1.00998,0.97258,0.95363,0.98233,0.88044,0.43277,0.31692,0.90137,7.08784e-05,7.08784e-05,7.08784e-05
50,3152,0.45794,0.36345,1.01714,0.97258,0.95934,0.98264,0.88575,0.42269,0.31286,0.89347,4.25842e-05,4.25842e-05,4.25842e-05
