epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8556,0.64785,0.60946,1.13605,0.95732,0.9329,0.97231,0.84264,0.52099,0.3999,0.97029,0.000472492,0.000472492,0.000472492
2,125.811,0.71686,0.68779,1.17775,0.90633,0.83758,0.93504,0.74972,0.64528,0.59426,1.08841,0.000939432,0.000939432,0.000939432
3,183.259,0.78476,0.78652,1.21609,0.91265,0.85138,0.94039,0.76388,0.65041,0.56997,1.08804,0.00139694,0.00139694,0.00139694
4,240.557,0.85168,0.85723,1.26792,0.81998,0.71052,0.85035,0.61648,0.826,0.95024,1.28256,0.00138656,0.00138656,0.00138656
5,297.972,0.81352,0.8269,1.24549,0.83752,0.79571,0.88355,0.66913,0.77449,0.87183,1.21662,0.00137241,0.00137241,0.00137241
6,355.27,0.84254,0.8405,1.25707,0.83436,0.71039,0.83617,0.59881,0.90856,0.88349,1.33824,0.00135826,0.00135826,0.00135826
7,413.012,0.83532,0.82992,1.26259,0.80747,0.56337,0.70921,0.52393,0.82697,1.29909,1.30152,0.00134412,0.00134412,0.00134412
8,470.428,0.8233,0.82978,1.26012,0.80467,0.7981,0.86822,0.64588,0.79106,0.70945,1.24073,0.00132997,0.00132997,0.00132997
9,527.731,0.82633,0.80324,1.24815,0.84817,0.85162,0.89501,0.6937,0.70919,0.64825,1.18023,0.00131582,0.00131582,0.00131582
10,585.173,0.82004,0.85219,1.24679,0.89214,0.86571,0.92943,0.73309,0.6816,0.56511,1.12818,0.00130168,0.00130168,0.00130168
11,642.678,0.80188,0.78873,1.23946,0.91744,0.86204,0.93312,0.74669,0.68788,0.56479,1.1332,0.00128753,0.00128753,0.00128753
12,700.009,0.78922,0.7936,1.22888,0.90031,0.85665,0.92433,0.72303,0.6861,0.55137,1.1509,0.00127338,0.00127338,0.00127338
13,757.535,0.79437,0.78209,1.23352,0.88979,0.82252,0.92572,0.74426,0.65826,0.63901,1.10802,0.00125923,0.00125923,0.00125923
14,814.772,0.78182,0.76365,1.21998,0.90551,0.86289,0.93202,0.75472,0.66396,0.53922,1.10153,0.00124509,0.00124509,0.00124509
15,872.344,0.75756,0.74403,1.1961,0.92038,0.89015,0.94922,0.77909,0.62757,0.5113,1.06993,0.00123094,0.00123094,0.00123094
16,929.538,0.78116,0.74261,1.21912,0.88521,0.86264,0.93339,0.7467,0.65039,0.54066,1.09153,0.00121679,0.00121679,0.00121679
17,986.475,0.79326,0.75937,1.23049,0.88678,0.82285,0.91172,0.71136,0.69317,0.64775,1.13961,0.00120265,0.00120265,0.00120265
18,1043.95,0.76917,0.73891,1.21241,0.9446,0.89657,0.95872,0.78719,0.61826,0.48933,1.07358,0.0011885,0.0011885,0.0011885
19,1101.49,0.74481,0.70807,1.18676,0.9341,0.89317,0.94656,0.77754,0.63882,0.50392,1.0863,0.00117435,0.00117435,0.00117435
20,1160.69,0.75838,0.73179,1.2043,0.92614,0.90577,0.95708,0.79461,0.61803,0.52375,1.06102,0.00116021,0.00116021,0.00116021
21,1219.05,0.74396,0.69484,1.19103,0.92907,0.85783,0.94628,0.76877,0.64772,0.53432,1.10761,0.00114606,0.00114606,0.00114606
22,1276.91,0.74,0.69507,1.18837,0.93386,0.90486,0.95473,0.78343,0.61355,0.4764,1.05204,0.00113191,0.00113191,0.00113191
23,1333.85,0.73241,0.70428,1.19029,0.95519,0.91139,0.96362,0.80631,0.5871,0.45026,1.03866,0.00111776,0.00111776,0.00111776
