epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6901,0.67955,0.68022,1.15299,0.95672,0.93183,0.97322,0.84543,0.5138,0.39405,0.95106,0.000472492,0.000472492,0.000472492
2,111.759,0.74279,0.73579,1.19277,0.92585,0.91116,0.95219,0.80039,0.58435,0.49686,1.02893,0.000939432,0.000939432,0.000939432
3,165.08,0.79343,0.79196,1.22495,0.90926,0.87633,0.94183,0.77266,0.63918,0.53193,1.07838,0.00139694,0.00139694,0.00139694
4,218.217,0.86517,0.88296,1.26461,0.88946,0.82785,0.90763,0.72587,0.69236,0.60356,1.12676,0.00138656,0.00138656,0.00138656
5,270.867,0.8415,0.84701,1.25993,0.83993,0.68905,0.80953,0.5571,1.12655,1.02351,1.57661,0.00137241,0.00137241,0.00137241
6,323.594,0.85081,0.83854,1.25076,0.81769,0.7895,0.89171,0.67723,0.75929,0.69692,1.19784,0.00135826,0.00135826,0.00135826
7,376.713,0.8358,0.83584,1.25792,0.77955,0.68396,0.81146,0.60301,0.79385,0.98602,1.23448,0.00134412,0.00134412,0.00134412
8,430.737,0.83153,0.85092,1.25991,0.86229,0.81357,0.89145,0.70158,0.7006,0.66791,1.13517,0.00132997,0.00132997,0.00132997
9,488.236,0.83521,0.81122,1.24687,0.87217,0.87414,0.92658,0.73398,0.69743,0.63305,1.1449,0.00131582,0.00131582,0.00131582
10,543.344,0.82796,0.83656,1.24032,0.85858,0.79531,0.90634,0.70655,0.73849,0.72403,1.17204,0.00130168,0.00130168,0.00130168
11,598.282,0.81894,0.81385,1.23961,0.91029,0.85052,0.92375,0.72391,0.7133,0.60139,1.15261,0.00128753,0.00128753,0.00128753
12,652.381,0.80207,0.79671,1.22926,0.8417,0.79061,0.9047,0.70945,0.71348,0.7068,1.16292,0.00127338,0.00127338,0.00127338
13,706.732,0.81062,0.79272,1.235,0.91277,0.87865,0.9387,0.75423,0.65215,0.55824,1.08876,0.00125923,0.00125923,0.00125923
14,762.09,0.76926,0.75165,1.21004,0.915,0.90861,0.95055,0.78926,0.62565,0.49852,1.04701,0.00124509,0.00124509,0.00124509
15,817.602,0.75676,0.74131,1.18886,0.91109,0.87176,0.93254,0.75866,0.63821,0.53033,1.08525,0.00123094,0.00123094,0.00123094
16,871.982,0.79166,0.7448,1.2216,0.89277,0.83411,0.91269,0.72594,0.68883,0.58934,1.1177,0.00121679,0.00121679,0.00121679
17,925.164,0.78326,0.7442,1.21935,0.93751,0.8873,0.95047,0.77323,0.64055,0.50759,1.0979,0.00120265,0.00120265,0.00120265
18,977.978,0.77845,0.73759,1.20474,0.91832,0.89204,0.94858,0.77123,0.64898,0.50136,1.08482,0.0011885,0.0011885,0.0011885
19,1031.33,0.74729,0.72065,1.18178,0.91596,0.89799,0.95309,0.79433,0.6042,0.47925,1.04736,0.00117435,0.00117435,0.00117435
20,1084.87,0.7578,0.74836,1.19706,0.92413,0.87313,0.94683,0.78875,0.61259,0.60604,1.05881,0.00116021,0.00116021,0.00116021
21,1138.07,0.76021,0.7157,1.20161,0.89562,0.90414,0.94833,0.78106,0.62738,0.50148,1.06519,0.00114606,0.00114606,0.00114606
22,1190.69,0.73632,0.7093,1.18467,0.9428,0.90037,0.96014,0.80101,0.59005,0.46027,1.0245,0.00113191,0.00113191,0.00113191
23,1243.34,0.73856,0.71963,1.1932,0.93471,0.89489,0.95646,0.80225,0.5827,0.47391,1.03141,0.00111776,0.00111776,0.00111776
24,1298.04,0.73512,0.6828,1.18324,0.93366,0.91605,0.95866,0.79083,0.60162,0.47855,1.04139,0.00110362,0.00110362,0.00110362
25,1353.04,0.7524,0.69542,1.1878,0.9152,0.894,0.94822,0.79021,0.59838,0.51157,1.04867,0.00108947,0.00108947,0.00108947
26,1407.46,0.72635,0.67276,1.17883,0.92012,0.8976,0.95348,0.79756,0.57686,0.50891,1.02686,0.00107532,0.00107532,0.00107532
27,1462.14,0.72093,0.67281,1.16759,0.9354,0.90806,0.96138,0.80698,0.57082,0.4381,1.008,0.00106118,0.00106118,0.00106118
28,1517.17,0.72258,0.66763,1.17334,0.96531,0.91183,0.96816,0.82318,0.55006,0.41761,0.999,0.00104703,0.00104703,0.00104703
